Tipo,Slot,Grupo,Ruta,Nombre,Main Algorithm,Alternative Algorithm,Alternative Algorithm 2,Target Slot
Basic Algorithms,Working Slot,Group,Case Name_Working Slot.png,Case Name,Main Algorithm,Alternative Algorithm,Alternative Algorithm 2 or Case from another angle.,
Basic Algorithms,Front Right,Free Pairs,F2L1_Front Right.png,F2L1,U R U' R',R' F R F',,
Basic Algorithms,Front Right,Free Pairs,F2L2_Front Right.png,F2L2,F R' F' R,y' U' R' U R,,
Basic Algorithms,Front Right,Free Pairs,F2L3_Front Right.png,F2L3,F' U' F,y' R' U' R,,
Basic Algorithms,Front Right,Free Pairs,F2L4_Front Right.png,F2L4,R U R',y' f R f',,
Basic Algorithms,Front Right,Disconnected Pairs,F2L5_Front Right.png,F2L5,U' R U R' U2 R U' R',U' R U R' U' R U2 R',,
Basic Algorithms,Front Right,Disconnected Pairs,F2L6_Front Right.png,F2L6,U' r U' R' U R U r',y' U R' U' R U2 R' U R,y F2 R U R' U' F2,
Basic Algorithms,Front Right,Disconnected Pairs,F2L7_Front Right.png,F2L7,U' R U2 R' U' R U2 R',M' U' M U2 r U' r',,
Basic Algorithms,Front Right,Disconnected Pairs,F2L8_Front Right.png,F2L8,d R' U2 R U R' U2 R,r' U2 R2 U R2 U r,,
Basic Algorithms,Front Right,Disconnected Pairs,F2L9_Front Right.png,F2L9,U' R U' R' U F' U' F,F R U R' U' F' R U' R',,
Basic Algorithms,Front Right,Disconnected Pairs,F2L10_Front Right.png,F2L10,U' R U R' U R U R',U2 R U' R' U' R U R',,
Basic Algorithms,Front Right,Disconnected Pairs,F2L11_Front Right.png,F2L11,U R U2 R' U R U' R',U R U2 R2 F R F',,
Basic Algorithms,Front Right,Disconnected Pairs,F2L12_Front Right.png,F2L12,y' U' R' U2 R U' R' U R,y U' L' U2 L U' L' U L,,
Basic Algorithms,Front Right,Disconnected Pairs,F2L13_Front Right.png,F2L13,U2 R U R' U R U' R',R U' R' U2 R U R',,
Basic Algorithms,Front Right,Disconnected Pairs,F2L14_Front Right.png,F2L14,r U' r' U2 r U r',F' L' U2 L F,,
Basic Algorithms,Front Right,Connected Pairs,F2L15_Front Right.png,F2L15,y' R U2 R2 U' R2 U' R',U' R U2 R' U F' U' F,,
Basic Algorithms,Front Right,Connected Pairs,F2L16_Front Right.png,F2L16,R U' R' U R U' R' U2 R U' R',R' U2 R2 U R2 U R,,
Basic Algorithms,Front Right,Connected Pairs,F2L17_Front Right.png,F2L17,y' U R' U R U' R' U' R,M' U' R U R' U2 R U' r',,
Basic Algorithms,Front Right,Connected Pairs,F2L18_Front Right.png,F2L18,U' R U' R' U R U R',R U2 R' U2 R U R' U2 R U' R',,
Basic Algorithms,Front Right,Connected Pairs,F2L19_Front Right.png,F2L19,R' D' R U' R' D R U R U' R',R U R' U2 R U' R' U R U' R',M U r U' r' U' M',
Basic Algorithms,Front Right,Connected Pairs,F2L20_Front Right.png,F2L20,R U' R' U2 F' U' F,R U' R' U2 y' R' U' R,U F U R U' R' F' R U R',r U r' U r U2 r' U' r U' r'
Basic Algorithms,Front Right,Connected Pairs,F2L21_Front Right.png,F2L21,R U2 R' U' R U R',y2 L U2 L' U' L U L',,
Basic Algorithms,Front Right,Connected Pairs,F2L22_Front Right.png,F2L22,y' R' U2 R U R' U' R,R' F R F' R U' R' U R U' R',,
Basic Algorithms,Front Right,Connected Pairs,F2L23_Front Right.png,F2L23,U R U' R' U' R U' R' U R U' R',U F R' F' R U R U R',U2 R2 U2 R' U' R U' R2,
Basic Algorithms,Front Right,Connected Pairs,F2L24_Front Right.png,F2L24,F U R U' R' F' R U' R',y' R' U' R U2 R' U' R U R' U' R,U' R U R2 F R F' R U' R',
Basic Algorithms,Front Right,Corner In Slot,F2L25_Front Right.png,F2L25,U' R' F R F' R U R',R' F' R U R U' R' F,,
Basic Algorithms,Front Right,Corner In Slot,F2L26_Front Right.png,F2L26,U R U' R' F R' F' R,R S' R' U R S R',,
Basic Algorithms,Front Right,Corner In Slot,F2L27_Front Right.png,F2L27,R U' R' U R U' R',F' U' F U2 R U' R',,
Basic Algorithms,Front Right,Corner In Slot,F2L28_Front Right.png,F2L28,R U R' U' F R' F' R,y L' U L U' L' U L,,
Basic Algorithms,Front Right,Corner In Slot,F2L29_Front Right.png,F2L29,R' F R F' U R U' R',y' R' U' R U R' U' R,,
Basic Algorithms,Front Right,Corner In Slot,F2L30_Front Right.png,F2L30,R U R' U' R U R',U' F R' F' R2 U R',,
Basic Algorithms,Front Right,Edge In Slot,F2L31_Front Right.png,F2L31,U' R' F R F' R U' R',R U' R' U y' R' U R,,
Basic Algorithms,Front Right,Edge In Slot,F2L32_Front Right.png,F2L32,U R U' R' U R U' R' U R U' R',R U R' U' R U R' U' R U R',U' F R' F' R U' R U R',R2 U R2 U R2 U2 R2
Basic Algorithms,Front Right,Edge In Slot,F2L33_Front Right.png,F2L33,U' R U' R' U2 R U' R',R U R' U' R U' R' U R U' R',,
Basic Algorithms,Front Right,Edge In Slot,F2L34_Front Right.png,F2L34,U R U R' U2 R U R',U' R U2 R' U R U R',U R' D' R U' R' D R,U' R' D' R U R' D R
Basic Algorithms,Front Right,Edge In Slot,F2L35_Front Right.png,F2L35,U' R U R' U F' U' F,U' R U R' d R' U' R,U M' U R U' r' R U' R',
Basic Algorithms,Front Right,Edge In Slot,F2L36_Front Right.png,F2L36,U F' U' F U' R U R',U2 R' F R F' U2 R U R',,
Basic Algorithms,Front Right,Pieces In Slot,F2L37_Front Right.png,F2L37,R2 U2 F R2 F' U2 R' U R',R' F R F' R U' R' U R U' R' U2 R U' R',,
Basic Algorithms,Front Right,Pieces In Slot,F2L38_Front Right.png,F2L38,R U' R' U' R U R' U2 R U' R',R U R' U' R U2 R' U' R U R',,
Basic Algorithms,Front Right,Pieces In Slot,F2L39_Front Right.png,F2L39,R U' R' U R U2 R' U R U' R',R U2 R U R' U R U2 R2,,
Basic Algorithms,Front Right,Pieces In Slot,F2L40_Front Right.png,F2L40,r U' r' U2 r U r' R U R',F' L' U2 L F R U R',,
Basic Algorithms,Front Right,Pieces In Slot,F2L41_Front Right.png,F2L41,R U' R' r U' r' U2 r U r',R U' R' F' L' U2 L F,,
Basic Algorithms,Front Right,Pieces In Slot,F2L42_Front Right.png,F2L42,It's ready,,,
Basic Algorithms,Front Left,Free Pairs,F2L1_Front Left.png,F2L1,F' r U r',F' L F L',,
Basic Algorithms,Front Left,Free Pairs,F2L2_Front Left.png,F2L2,U' L' U L,L F' L' F,,
Basic Algorithms,Front Left,Free Pairs,F2L3_Front Left.png,F2L3,L' U' L,U2 R' F R U R' F' R,,
Basic Algorithms,Front Left,Free Pairs,F2L4_Front Left.png,F2L4,F U F',y L U L',,
Basic Algorithms,Front Left,Disconnected Pairs,F2L5_Front Left.png,F2L5,U R' F r U' r' F' R,U2 F R U R' U2 F',,
Basic Algorithms,Front Left,Disconnected Pairs,F2L6_Front Left.png,F2L6,U L' U' L U2 L' U L,F2 R U R' U' F2,,
Basic Algorithms,Front Left,Disconnected Pairs,F2L7_Front Left.png,F2L7,F U R U2 R' U F',d' L U2 L' U2 L U' L',,
Basic Algorithms,Front Left,Disconnected Pairs,F2L8_Front Left.png,F2L8,U L' U2 L U L' U2 L,U r' F2 r U2 r' F r,,
Basic Algorithms,Front Left,Disconnected Pairs,F2L9_Front Left.png,F2L9,U L' U' L U' L' U' L,F2 U R U' R' F2,,
Basic Algorithms,Front Left,Disconnected Pairs,F2L10_Front Left.png,F2L10,U L' U L U' F U F',F U' R U R' U2 F',,
Basic Algorithms,Front Left,Disconnected Pairs,F2L11_Front Left.png,F2L11,U L' U L2 F' L' F L' U L,y U L U2 L' U L U' L',,
Basic Algorithms,Front Left,Disconnected Pairs,F2L12_Front Left.png,F2L12,U' L' U2 L U' L' U L,L' U L U' L' U L U' L' U' L,,
Basic Algorithms,Front Left,Disconnected Pairs,F2L13_Front Left.png,F2L13,l' U l U2 l' U' l,F R U2 R' F',,
Basic Algorithms,Front Left,Disconnected Pairs,F2L14_Front Left.png,F2L14,L' U L U2 L' U' L,U2 L' U' L U' L' U L,,
Basic Algorithms,Front Left,Connected Pairs,F2L15_Front Left.png,F2L15,L' U L U' L' U L U2 L' U L,L U2 L2 U' L2 U' L',,
Basic Algorithms,Front Left,Connected Pairs,F2L16_Front Left.png,F2L16,U L' U2 L U' F U F',U L' U2 L d' L U L',,
Basic Algorithms,Front Left,Connected Pairs,F2L17_Front Left.png,F2L17,U L' U L U' L' U' L,y' R U' R' U2 R U' R' U F' U F,,
Basic Algorithms,Front Left,Connected Pairs,F2L18_Front Left.png,F2L18,d' L U' L' U L U L',y U' L U' L' U L U L',,
Basic Algorithms,Front Left,Connected Pairs,F2L19_Front Left.png,F2L19,L' U L U2 F U F',F U2 R U R' U F',,
Basic Algorithms,Front Left,Connected Pairs,F2L20_Front Left.png,F2L20,F U' R U' R' U2 F',L' U' L U2 L' U L U' L' U L,,
Basic Algorithms,Front Left,Connected Pairs,F2L21_Front Left.png,F2L21,y L U2 L' U' L U L',L F' L' F L' U L U' L' U L,,
Basic Algorithms,Front Left,Connected Pairs,F2L22_Front Left.png,F2L22,L' U2 L U L' U' L,,,
Basic Algorithms,Front Left,Connected Pairs,F2L23_Front Left.png,F2L23,F' U' L' U L F L' U L,F U' R U R' U R U2 R' F',,
Basic Algorithms,Front Left,Connected Pairs,F2L24_Front Left.png,F2L24,U' L' U L U L' U L U' L' U L,U' F' r U r' U' L' U' L,,
Basic Algorithms,Front Left,Corner In Slot,F2L25_Front Left.png,F2L25,U' L' U L F' r U r',U' L' U L F' L F L',,
Basic Algorithms,Front Left,Corner In Slot,F2L26_Front Left.png,F2L26,r U r' U' r' F r F',U L F' L' F L' U' L,,
Basic Algorithms,Front Left,Corner In Slot,F2L27_Front Left.png,F2L27,L' U' L U F' r U r',L' U' L U F' L F L',,
Basic Algorithms,Front Left,Corner In Slot,F2L28_Front Left.png,F2L28,L' U L U' L' U L,L' U L2 F' L' F,,
Basic Algorithms,Front Left,Corner In Slot,F2L29_Front Left.png,F2L29,L' U' L U L' U' L,U L' U2 L U2 L' U' L,,
Basic Algorithms,Front Left,Corner In Slot,F2L30_Front Left.png,F2L30,L F' L' F U' L' U L,y' R U R' U' R U R',,
Basic Algorithms,Front Left,Edge In Slot,F2L31_Front Left.png,F2L31,U L F' L' F L' U L,L' U L U' y L U' L',,
Basic Algorithms,Front Left,Edge In Slot,F2L32_Front Left.png,F2L32,U' L' U L U' L' U L U' L' U L,U L' U L U' L' U2 L U L' U' L,,
Basic Algorithms,Front Left,Edge In Slot,F2L33_Front Left.png,F2L33,R' D R U' R' D' R,U L' U2 L U' L' U' L,,
Basic Algorithms,Front Left,Edge In Slot,F2L34_Front Left.png,F2L34,U L' U L U2 L' U L,U L' U L U L' U2 L,,
Basic Algorithms,Front Left,Edge In Slot,F2L35_Front Left.png,F2L35,U2 F U F' U' L' U L,U' F R' F R F' U F',,
Basic Algorithms,Front Left,Edge In Slot,F2L36_Front Left.png,F2L36,U L' U' L d' L U L',U2 L' U' L F' L F L',,
Basic Algorithms,Front Left,Pieces In Slot,F2L37_Front Left.png,F2L37,L2 U2 F' L2 F U2 L U' L,L' U2 L U' L' U2 L U' F U F',,
Basic Algorithms,Front Left,Pieces In Slot,F2L38_Front Left.png,F2L38,L' U L U' L' U2 L U' L' U L,F R U2 R' U' R U R' U2 F',,
Basic Algorithms,Front Left,Pieces In Slot,F2L39_Front Left.png,F2L39,L' U' L U L' U2 L U L' U' L,F' L F L2 U2 L U L' U' L,,
Basic Algorithms,Front Left,Pieces In Slot,F2L40_Front Left.png,F2L40,L' U L F R U2 R' F',L' U L R' F R U2 R' F' R,,
Basic Algorithms,Front Left,Pieces In Slot,F2L41_Front Left.png,F2L41,l' U l U2 l' U' l L' U' L,L' U L U L' U L U' y' R U R',,
Basic Algorithms,Front Left,Pieces In Slot,F2L42_Front Left.png,F2L42,It's ready,,,
Basic Algorithms,Back Left,Free Pairs,F2L1_Back Left.png,F2L1,U L U' L',U2 L U2 L',,
Basic Algorithms,Back Left,Free Pairs,F2L2_Back Left.png,F2L2,l U L' U' M',d' R' U R,,
Basic Algorithms,Back Left,Free Pairs,F2L3_Back Left.png,F2L3,y R' U' R,f' L' f,,
Basic Algorithms,Back Left,Free Pairs,F2L4_Back Left.png,F2L4,L U L',r B r',,
Basic Algorithms,Back Left,Disconnected Pairs,F2L5_Back Left.png,F2L5,U' L U L' U2 L U' L',U' L U L' U' L U2 L',,
Basic Algorithms,Back Left,Disconnected Pairs,F2L6_Back Left.png,F2L6,U r U' r' U' L U F L',y U R' U' R U R' U2 R,,
Basic Algorithms,Back Left,Disconnected Pairs,F2L7_Back Left.png,F2L7,U' L U2 L' U2 L U' L',U' L U2 L' U' L U2 L',,
Basic Algorithms,Back Left,Disconnected Pairs,F2L8_Back Left.png,F2L8,l' U2 L2 U L2 U l,y U R' U2 R U R' U2 R,,
Basic Algorithms,Back Left,Disconnected Pairs,F2L9_Back Left.png,F2L9,y U R' U' R U' R' U' R,U' L U' L' U f' L' f,,
Basic Algorithms,Back Left,Disconnected Pairs,F2L10_Back Left.png,F2L10,U' L U L' U L U L',U2 L U' L' U' L U L',,
Basic Algorithms,Back Left,Disconnected Pairs,F2L11_Back Left.png,F2L11,U L U2 L' U L U' L',L U' L' U L U' L' U L U L',,
Basic Algorithms,Back Left,Disconnected Pairs,F2L12_Back Left.png,F2L12,y U' R' U2 R U' R' U R,U' L F U2 F' L' U' L U L',,
Basic Algorithms,Back Left,Disconnected Pairs,F2L13_Back Left.png,F2L13,L U' L' U2 L U L',U2 L U L' U L U' L',,
Basic Algorithms,Back Left,Disconnected Pairs,F2L14_Back Left.png,F2L14,l U' l' U2 l U l',y R' U R U2 R' U' R,,
Basic Algorithms,Back Left,Connected Pairs,F2L15_Back Left.png,F2L15,U' L U2 L' U f' L' f,U' L U2 L' d L' U' L,,
Basic Algorithms,Back Left,Connected Pairs,F2L16_Back Left.png,F2L16,L' U2 L2 U L2 U L,L U' L' U L U' L' U2 L U' L',,
Basic Algorithms,Back Left,Connected Pairs,F2L17_Back Left.png,F2L17,d L' U L U' L' U' L,y U R' U R U' R' U' R,,
Basic Algorithms,Back Left,Connected Pairs,F2L18_Back Left.png,F2L18,U' L U' L' U L U L',U' L U' L' U L U' L' U' L U' L',,
Basic Algorithms,Back Left,Connected Pairs,F2L19_Back Left.png,F2L19,L U L' U2 L U' L' U L U' L',L U2 L' U L U L' U L U' L',,
Basic Algorithms,Back Left,Connected Pairs,F2L20_Back Left.png,F2L20,L U' L' U2 f' L' f,L2 F' L' F L' U2 L U' L',,
Basic Algorithms,Back Left,Connected Pairs,F2L21_Back Left.png,F2L21,L U2 L' U' L U L',L U L' U' L U2 L' U2 L U L',,
Basic Algorithms,Back Left,Connected Pairs,F2L22_Back Left.png,F2L22,y R' U2 R U R' U' R,U F U R U' R' F' L U L',,
Basic Algorithms,Back Left,Connected Pairs,F2L23_Back Left.png,F2L23,U L U' L' U' L U' L' U L U' L',L U L' U2 L U L' U' L U L',,
Basic Algorithms,Back Left,Connected Pairs,F2L24_Back Left.png,F2L24,U2 r U R' U R U2 B r',U2 F U R U' R' F' U2 L U' L',,
Basic Algorithms,Back Left,Corner In Slot,F2L25_Back Left.png,F2L25,R D' R' U' R D R' L U L',L U' L' U' L U' L' U L U L',,
Basic Algorithms,Back Left,Corner In Slot,F2L26_Back Left.png,F2L26,L S L' U L S' L',F R2 u R u' R2 F',,
Basic Algorithms,Back Left,Corner In Slot,F2L27_Back Left.png,F2L27,L U' L' U L U' L',,,
Basic Algorithms,Back Left,Corner In Slot,F2L28_Back Left.png,F2L28,L U2 L F' L' F L',y R' U R U' R' U R,,
Basic Algorithms,Back Left,Corner In Slot,F2L29_Back Left.png,F2L29,y R' U' R U R' U' R,U2 L U' L' f' L' f,,
Basic Algorithms,Back Left,Corner In Slot,F2L30_Back Left.png,F2L30,L U L' U' L U L',U' L U2 L' U2 L U L',,
Basic Algorithms,Back Left,Edge In Slot,F2L31_Back Left.png,F2L31,L U' L F' L' F L',f' L f U' L U' L',,
Basic Algorithms,Back Left,Edge In Slot,F2L32_Back Left.png,F2L32,L U L' U' L U L' U' L U L',U L U' L' U L U' L' U L U' L',,
Basic Algorithms,Back Left,Edge In Slot,F2L33_Back Left.png,F2L33,U' L U' L' U2 L U' L',U' L U' L' U' L U2 L',,
Basic Algorithms,Back Left,Edge In Slot,F2L34_Back Left.png,F2L34,U L U L' U2 L U L',U L' D' L U' L' D L,,
Basic Algorithms,Back Left,Edge In Slot,F2L35_Back Left.png,F2L35,U' L U L' U f' L' f,U2 L U L' U' L F U F' L',,
Basic Algorithms,Back Left,Edge In Slot,F2L36_Back Left.png,F2L36,U f' L' f U' L U L',U2 f' L' f U L U' L',,
Basic Algorithms,Back Left,Pieces In Slot,F2L37_Back Left.png,F2L37,L U' L' l' U2 L2 U L2 U l,f' L f U' L U2 L' U2 L U' L',,
Basic Algorithms,Back Left,Pieces In Slot,F2L38_Back Left.png,F2L38,L U L' U' L U2 L' U' L U L',L U' L' U' L U L' U' L U2 L',,
Basic Algorithms,Back Left,Pieces In Slot,F2L39_Back Left.png,F2L39,L U L' U2 L U' L' U L U L',L U' L' U L U2 L' U L U' L',,
Basic Algorithms,Back Left,Pieces In Slot,F2L40_Back Left.png,F2L40,l U' l' U2 l U l' L U L',f' L f U2 L U L' U L U' L',,
Basic Algorithms,Back Left,Pieces In Slot,F2L41_Back Left.png,F2L41,f' L f U' L U L' U L U L',L2 F U F' U' L' U L',,
Basic Algorithms,Back Left,Pieces In Slot,F2L42_Back Left.png,F2L42,It's ready,,,
Basic Algorithms,Back Right,Free Pairs,F2L1_Back Right.png,F2L1,U f R' f',r' U' R U M',,
Basic Algorithms,Back Right,Free Pairs,F2L2_Back Right.png,F2L2,U' R' U R,R f' U' f,,
Basic Algorithms,Back Right,Free Pairs,F2L3_Back Right.png,F2L3,R' U' R,U2 r' R' F R F' r,,
Basic Algorithms,Back Right,Free Pairs,F2L4_Back Right.png,F2L4,f R f',y R U R',,
Basic Algorithms,Back Right,Disconnected Pairs,F2L5_Back Right.png,F2L5,U' R' F R U R' U' F' R,U r' U R U' R' U' r,,
Basic Algorithms,Back Right,Disconnected Pairs,F2L6_Back Right.png,F2L6,U R' U' R U2 R' U R,U R' U' R U R' U2 R,,
Basic Algorithms,Back Right,Disconnected Pairs,F2L7_Back Right.png,F2L7,r U2 R2 U' R2 U' r',F R U R2 U' R F',,
Basic Algorithms,Back Right,Disconnected Pairs,F2L8_Back Right.png,F2L8,U R' U2 R U R' U2 R,U R' U2 R U2 R' U R,,
Basic Algorithms,Back Right,Disconnected Pairs,F2L9_Back Right.png,F2L9,U R' U' R U' R' U' R,R' U R U' R' U' R U2 R' U R,,
Basic Algorithms,Back Right,Disconnected Pairs,F2L10_Back Right.png,F2L10,U R' U R U' f R f',y U' R U R' U R U R',,
Basic Algorithms,Back Right,Disconnected Pairs,F2L11_Back Right.png,F2L11,y U R U2 R' U R U' R',U R' F' U2 F R U R' U' R,,
Basic Algorithms,Back Right,Disconnected Pairs,F2L12_Back Right.png,F2L12,U' R' U2 R U' R' U R,R' U R U' R' U R U' R' U' R,,
Basic Algorithms,Back Right,Disconnected Pairs,F2L13_Back Right.png,F2L13,r' U r U2 r' U' r,y' U2 L U L' U L U' L',,
Basic Algorithms,Back Right,Disconnected Pairs,F2L14_Back Right.png,F2L14,R' U R U2 R' U' R,U2 R' U' R U' R' U R,,
Basic Algorithms,Back Right,Connected Pairs,F2L15_Back Right.png,F2L15,R' U R U' R' U R U2 R' U R,R' U R U' R' U R U R' U2 R,,
Basic Algorithms,Back Right,Connected Pairs,F2L16_Back Right.png,F2L16,U R' U2 R U' f R f',f R' U R2 U' R2 f',,
Basic Algorithms,Back Right,Connected Pairs,F2L17_Back Right.png,F2L17,U R' U R U' R' U' R,U R' U R U' R' U R U R' U R,,
Basic Algorithms,Back Right,Connected Pairs,F2L18_Back Right.png,F2L18,y U' R U' R' U R U R',d' R U' R' U R U R',,
Basic Algorithms,Back Right,Connected Pairs,F2L19_Back Right.png,F2L19,R' U R U2 f R f',R2 F R F' R U R' U2 R,,
Basic Algorithms,Back Right,Connected Pairs,F2L20_Back Right.png,F2L20,R' U' R U2 R' U R U' R' U R,M' U' r' U r U M,,
Basic Algorithms,Back Right,Connected Pairs,F2L21_Back Right.png,F2L21,y' L U2 L' U' L U L',y R U2 R' U' R U R',,
Basic Algorithms,Back Right,Connected Pairs,F2L22_Back Right.png,F2L22,R' U2 R U R' U' R,,,
Basic Algorithms,Back Right,Connected Pairs,F2L23_Back Right.png,F2L23,U R' F R' F' R2 U' R' U R,U2 l' U' L U' L' U2 B' l,,
Basic Algorithms,Back Right,Connected Pairs,F2L24_Back Right.png,F2L24,R' U' R U2 R' U' R U R' U' R,U2 R2 U2 R U R' U R2,,
Basic Algorithms,Back Right,Corner In Slot,F2L25_Back Right.png,F2L25,U' R' U M U' R U M',R' S' R U' R' S R,,
Basic Algorithms,Back Right,Corner In Slot,F2L26_Back Right.png,F2L26,R' U R U R' U R U' R' U' R,R U R U R U' R' U' R',,
